OrderNo;ErrorsValue;ErrorProviderType;CorrectionBytesCount;DecoderType;ProvidedErrorsCount;ErrorsAfterDecoding;Time [ms];FileSize [pix]
21;1;PercentageOfErrors;10;Extended;204;12;77;6500
22;1;PercentageOfErrors;16;Extended;209;0;62;6500
23;1;PercentageOfErrors;24;Extended;216;0;62;6500
24;1;PercentageOfErrors;32;Extended;224;0;72;6500
25;1;PercentageOfErrors;40;Extended;232;0;82;6500
26;2;PercentageOfErrors;10;Extended;408;209;54;6500
27;2;PercentageOfErrors;16;Extended;418;34;63;6500
28;2;PercentageOfErrors;24;Extended;433;0;77;6500
29;2;PercentageOfErrors;32;Extended;448;0;90;6500
30;2;PercentageOfErrors;40;Extended;464;0;81;6500
31;5;PercentageOfErrors;10;Extended;1020;918;59;6500
32;5;PercentageOfErrors;16;Extended;1045;849;74;6500
33;5;PercentageOfErrors;24;Extended;1083;515;77;6500
34;5;PercentageOfErrors;32;Extended;1122;150;80;6500
35;5;PercentageOfErrors;40;Extended;1160;0;92;6500
36;10;PercentageOfErrors;10;Extended;2040;1683;64;6500
37;10;PercentageOfErrors;16;Extended;2091;1670;68;6500
38;10;PercentageOfErrors;24;Extended;2167;1668;78;6500
39;10;PercentageOfErrors;32;Extended;2244;1641;79;6500
40;10;PercentageOfErrors;40;Extended;2320;1445;95;6500
2;1;PercentageOfErrors;16;Simple;209;169;24061;6500
1;1;PercentageOfErrors;10;Simple;204;180;28619;6500
3;1;PercentageOfErrors;24;Simple;216;171;26060;6500
18;10;PercentageOfErrors;24;Simple;2167;1683;34194;6500
4;1;PercentageOfErrors;32;Simple;224;162;24219;6500
19;10;PercentageOfErrors;32;Simple;2244;1690;33666;6500
5;1;PercentageOfErrors;40;Simple;232;156;24324;6500
20;10;PercentageOfErrors;40;Simple;2320;1619;32991;6500
6;2;PercentageOfErrors;10;Simple;408;373;29805;6500
7;2;PercentageOfErrors;16;Simple;418;386;25097;6500
8;2;PercentageOfErrors;24;Simple;433;358;24867;6500
9;2;PercentageOfErrors;32;Simple;448;371;24650;6500
10;2;PercentageOfErrors;40;Simple;464;365;24651;6500
11;5;PercentageOfErrors;10;Simple;1020;885;25763;6500
12;5;PercentageOfErrors;16;Simple;1045;883;26344;6500
13;5;PercentageOfErrors;24;Simple;1083;909;27281;6500
14;5;PercentageOfErrors;32;Simple;1122;917;27655;6500
15;5;PercentageOfErrors;40;Simple;1160;923;27258;6500
16;10;PercentageOfErrors;10;Simple;2040;1674;25603;6500
17;10;PercentageOfErrors;16;Simple;2091;1695;27152;6500
